Logger started at: Tuesday, July 9, 2013 6:10:28 PM EDT
Component: com.aptana.js.debug.core
Version: 3.0.3.1365014454
[10:28.618] Sent: >21*1373407828541*version<
[10:28.618] Recv: >1373407828541*1*1.7.2<
[10:28.633] Sent: >20*1373407828542*update<
[10:48.648] Sent: >36*1373407828543*option*monitorXHR*true<
[10:48.648] Recv: >1373407828543<
[10:48.648] Sent: >45*1373407828544*option*suspendOnFirstLine*false<
[10:48.648] Recv: >1373407828544<
[10:48.648] Sent: >46*1373407828545*option*suspendOnExceptions*false<
[10:48.648] Recv: >1373407828545<
[10:48.648] Sent: >41*1373407828546*option*suspendOnErrors*true<
[10:48.648] Recv: >1373407828546<
[10:48.648] Sent: >43*1373407828547*option*suspendOnKeywords*true<
[10:48.648] Recv: >1373407828547<
[10:48.648] Sent: >45*1373407828548*option*bypassConstructors*false<
[10:48.648] Recv: >1373407828548<
[10:48.648] Sent: >45*1373407828549*option*stepFiltersEnabled*false<
[10:48.648] Recv: >1373407828549<
[10:48.648] Sent: >30*1373407828550*detailFormatters<
[10:48.648] Recv: >1373407828550<
[10:48.648] Sent: >20*1373407828551*enable<
[10:49.179] Recv: >scripts*created*2|resource:///components/nsLoginManager.js|LoginManager|45|2*13|resource:///components/nsLoginManager.js|anonymous|55|7*14|resource:///components/nsLoginManager.js|anonymous|69|6*15|resource:///components/nsLoginManager.js|anonymous|79|26*16|resource:///components/nsLoginManager.js|anonymous|111|9*17|resource:///components/nsLoginManager.js|anonymous|124|6*18|resource:///components/nsLoginManager.js|anonymous|148|33*19|resource:///components/nsLoginManager.js|anonymous|189|5*20|resource:///components/nsLoginManager.js|anonymous|215|13*21|resource:///components/nsLoginManager.js|anonymous|231|25*22|resource:///components/nsLoginManager.js|anonymous|275|39*23|resource:///components/nsLoginManager.js|anonymous|317|1*24|resource:///components/nsLoginManager.js|anonymous|318|1*25|resource:///components/nsLoginManager.js|anonymous|319|1*26|resource:///components/nsLoginManager.js|anonymous|320|1*27|resource:///components/nsLoginManager.js|anonymous|337|41*28|resource:///components/nsLoginManager.js|...347473<
[10:49.475] Recv: >1373407828551<
[10:49.475] Sent: >66*1373407828552*openUrl*file:/C:/wamp/www/VisualSchedules/search.php<
[10:49.491] Recv: >1373407828552<
[10:49.522] Recv: >resumed*start<
[10:49.693] Recv: >scripts*created*4099|file:/C:/wamp/www/VisualSchedules/search.php|loadFirebugConsole|3|2<
[10:49.709] Recv: >scripts*created*4100|file:/C:/wamp/www/VisualSchedules/search.php|log|9|1<
[10:49.709] Recv: >scripts*created*4101|file:/C:/wamp/www/VisualSchedules/search.php|debug|10|1<
[10:49.709] Recv: >scripts*created*4102|file:/C:/wamp/www/VisualSchedules/search.php|info|11|1<
[10:49.709] Recv: >scripts*created*4103|file:/C:/wamp/www/VisualSchedules/search.php|warn|12|1<
[10:49.709] Recv: >scripts*created*4104|file:/C:/wamp/www/VisualSchedules/search.php|exception|13|1<
[10:49.709] Recv: >scripts*created*4105|file:/C:/wamp/www/VisualSchedules/search.php|assert|14|1<
[10:49.709] Recv: >scripts*created*4106|file:/C:/wamp/www/VisualSchedules/search.php|dir|15|1<
[10:49.709] Recv: >scripts*created*4107|file:/C:/wamp/www/VisualSchedules/search.php|dirxml|16|1<
[10:49.709] Recv: >scripts*created*4108|file:/C:/wamp/www/VisualSchedules/search.php|firebugDebuggerTracer|17|1<
[10:49.709] Recv: >scripts*created*4109|file:/C:/wamp/www/VisualSchedules/search.php|group|18|1<
[10:49.725] Recv: >scripts*created*4110|file:/C:/wamp/www/VisualSchedules/search.php|groupEnd|19|1<
[10:49.725] Recv: >scripts*created*4111|file:/C:/wamp/www/VisualSchedules/search.php|groupCollapsed|20|1<
[10:49.725] Recv: >scripts*created*4112|file:/C:/wamp/www/VisualSchedules/search.php|time|21|1<
[10:49.725] Recv: >scripts*created*4113|file:/C:/wamp/www/VisualSchedules/search.php|timeEnd|22|1<
[10:49.725] Recv: >scripts*created*4114|file:/C:/wamp/www/VisualSchedules/search.php|profile|23|1<
[10:49.725] Recv: >scripts*created*4115|file:/C:/wamp/www/VisualSchedules/search.php|profileEnd|24|1<
[10:49.725] Recv: >scripts*created*4116|file:/C:/wamp/www/VisualSchedules/search.php|count|25|1<
[10:49.725] Recv: >scripts*created*4117|file:/C:/wamp/www/VisualSchedules/search.php|clear|26|1<
[10:49.725] Recv: >scripts*created*4118|file:/C:/wamp/www/VisualSchedules/search.php|table|27|1<
[10:49.725] Recv: >scripts*created*4119|file:/C:/wamp/www/VisualSchedules/search.php|error|29|7<
[10:49.725] Recv: >scripts*created*4120|file:/C:/wamp/www/VisualSchedules/search.php|notifyFirebug|39|27<
[10:49.725] Recv: >scripts*created*4121|file:/C:/wamp/www/VisualSchedules/search.php|firebug|71|2<
[10:49.725] Recv: >opened*file:///C:/wamp/www/VisualSchedules/search.php<
----------End of file----------
